Country,Localite,Category,Value,Date
Guinea,Mamou,New cases,0,11/3/14
Guinea,Mamou,Probable cases,0,11/3/14
Guinea,Mamou,Suspected cases,0,11/3/14
Guinea,National,Cases,"1,760",11/3/14
Guinea,National,Confirmed cases,"1,479",11/3/14
Guinea,National,Deaths,"1,054",11/3/14
Guinea,National,New cases,35,11/3/14
Guinea,National,Probable cases,204,11/3/14
Guinea,National,Suspected cases,77,11/3/14
Guinea,Nzerekore,Cases,162,11/3/14
Guinea,Nzerekore,Confirmed cases,106,11/3/14
Guinea,Nzerekore,Deaths,99,11/3/14
Guinea,Nzerekore,New cases,13,11/3/14
Guinea,Nzerekore,Probable cases,38,11/3/14
Guinea,Nzerekore,Suspected cases,18,11/3/14
Guinea,Pita,Cases,8,11/3/14
Guinea,Pita,Confirmed cases,7,11/3/14
Guinea,Pita,Deaths,4,11/3/14
Guinea,Pita,New cases,0,11/3/14
Guinea,Pita,Probable cases,1,11/3/14
Guinea,Pita,Suspected cases,0,11/3/14
Guinea,Siguiri,Cases,11,11/3/14
Guinea,Siguiri,Confirmed cases,9,11/3/14
Guinea,Siguiri,Deaths,5,11/3/14
Guinea,Siguiri,New cases,0,11/3/14
Guinea,Siguiri,Probable cases,0,11/3/14
Guinea,Siguiri,Suspected cases,2,11/3/14
Guinea,Telimele,Cases,26,11/3/14
Guinea,Telimele,Confirmed cases,23,11/3/14
Guinea,Telimele,Deaths,10,11/3/14
Guinea,Telimele,New cases,0,11/3/14
Guinea,Telimele,Probable cases,3,11/3/14
Guinea,Telimele,Suspected cases,0,11/3/14
Guinea,Yomou,Cases,11,11/3/14
Guinea,Yomou,Confirmed cases,11,11/3/14
Guinea,Yomou,Deaths,6,11/3/14
Guinea,Yomou,New cases,0,11/3/14
Guinea,Yomou,Probable cases,0,11/3/14
Guinea,Yomou,Suspected cases,0,11/3/14
Guinea,Beyla,Cases,16,11/4/14
Guinea,Beyla,Confirmed cases,16,11/4/14
Guinea,Beyla,Deaths,13,11/4/14
Guinea,Beyla,New cases,0,11/4/14
Guinea,Beyla,Probable cases,0,11/4/14
Guinea,Beyla,Suspected cases,0,11/4/14
Guinea,Boffa,Cases,26,11/4/14
Guinea,Boffa,Confirmed cases,19,11/4/14
Guinea,Boffa,Deaths,16,11/4/14
Guinea,Boffa,New cases,0,11/4/14
Guinea,Boffa,Probable cases,5,11/4/14
Guinea,Boffa,Suspected cases,2,11/4/14
Guinea,Boke,Cases,1,11/4/14
Guinea,Boke,Confirmed cases,1,11/4/14
Guinea,Boke,Deaths,0,11/4/14
Guinea,Boke,New cases,0,11/4/14
Guinea,Boke,Probable cases,0,11/4/14
Guinea,Boke,Suspected cases,0,11/4/14
